115	Beh�rde
116	Harmonisierte Dienste von sozialem Wert
12	Neuartige Dienste
130	Freecall
137	Abstimmungs- und Gewinnspiel
1505	Quam
150	Group 3G
151	Telekom Deutschland GmbH 
152	Vodafone 
155	E-Plus 3G Luxemburg 
156	Mobilcom 
1570	Vistream 
1575	Callax 
157	E-Plus 
159	O2 Germany 
160	Telekom Deutschland GmbH 
161	analoges C-Netz 
162	Vodafone 
163	E-Plus 
164	Cityruf (e*message) 
165	Funkmeldeempf�nger Quix
166	Telmi (e*message) 
1672	Dolphin Telecom 
167	B�ndelfunk
168	Scall (e*message) 
169	Cityruf, Scall, Skyper (e*cityruf, e*message, e*skyper) 
170	Telekom Deutschland GmbH 
171	Telekom Deutschland GmbH 
172	Vodafone 
173	Vodafone 
174	Vodafone 
175	Telekom Deutschland GmbH 
176	O2 Germany 
177	E-Plus 
178	E-Plus 
179	O2 Germany 
1801	Geteilte-Kosten-Dienste
1802	Geteilte-Kosten-Dienste
1803	Geteilte-Kosten-Dienste
1804	Geteilte-Kosten-Dienste
1805	Geteilte-Kosten-Dienste
180	Geteilte-Kosten-Dienste
181	Internationale VPN
182	Geschlossene Nutzergruppen 
183	Geschlossene Nutzergruppen 
184	Geschlossene Nutzergruppen 
185	Geschlossene Nutzergruppen 
186	Geschlossene Nutzergruppen 
187	Geschlossene Nutzergruppen 
188	Geschlossene Nutzergruppen 
1888	IVBB
189	Geschlossene Nutzergruppen 
18	Shared-Cost-Dienste, Internationale Virtuelle Private Netze (IVPN), Geschlossene Nutzergruppen 
190	Premium Rate Dienste
191	Online-Dienste 
192	Online-Dienste 
1930100	Festnetz-SMS-Zentrum der Deutschen Telekom 
193	Online-Dienste 
194	Online-Dienste 
1987	Routingnummern f�r Gasse (0)116xxx 
1988	Zielnetzbetreiberkennungen f�r Routing internationale geb�hrenfreie Mehrwertdienste (Freecall) 
1989	Routingnummern f�r Auskunftsdienste 
199	Netzinterne Verkehrslenkung 
241	Aachen
2408	Aachen-Kornelimuenster
7361	Aalen
7367	Aalen-Ebnat
6120	Aarbergen
34779	Abberode
9178	Abenberg Mittelfr.
9873	Abenberg-Wassermungenau
9443	Abensberg
7366	Abtsgmuend
8380	Achberg
7841	Achern
4202	Achim b.Bremen
4340	Achterwehr
7166	Adelberg
5506	Adelebsen
7963	Adelmannsfelden
9195	Adelsdorf
6291	Adelsheim
9865	Adelshofen
2691	Adenau
8707	Adlkofen
37423	Adorf (Vogtl.)
5154	Aerzen
8207	Affing
4247	Affinghausen
6262	Aglasterhausen
2561	Ahaus
2567	Ahaus-Alstaette
4269	Ahausen-Kirchwalsede
39775	Ahlbeck
2382	Ahlen Westf.
